date,predicted_cases,actual
2018-03-01,124.03314334615281,124.0
2018-04-01,208.97843541963147,209.0
2018-05-01,270.00277167447007,270.0
2018-06-01,223.98486425266577,224.0
2018-07-01,244.02488617561718,244.0
2018-08-01,137.03366446044512,137.0
2018-09-01,70.01314788930627,70.0
2018-11-01,178.03467966621804,178.0
2018-12-01,200.96617541810727,201.0
2019-01-01,213.9298604613101,214.0
2019-01-01,548.8862264180449,549.0
2019-02-01,172.0508800619581,172.0
2019-03-01,186.99698851240396,187.0
2019-04-01,220.99797466201545,221.0
2019-05-01,233.06010182174066,233.0
2019-06-01,355.89879666376316,356.0
2019-07-01,427.8685353912493,428.0
2019-08-01,366.01226655165254,366.0
2019-09-01,434.05448974407926,434.0
2019-11-01,587.7700350869045,588.0
2019-12-01,416.9030237660912,417.0
2023-01-01,236.0438082746718,236.0
2023-01-01,100.03597459171156,100.0
2023-02-01,258.9724439211515,259.0
2023-03-01,228.00414835243097,228.0
2023-04-01,250.9785024442781,251.0
2023-05-01,251.12594306669297,251.0
2023-06-01,512.8534347119183,513.0
2023-07-01,389.0675003021467,389.0
2023-08-01,267.0000735792362,267.0
2023-09-01,121.99492651104526,122.0
2023-11-01,240.9426449710573,241.0
2023-12-01,117.01879677806502,117.0
2024-01-01,337.98775193389554,338.0
2024-01-01,648.9606509292556,649.0
2024-02-01,487.9688629421507,488.0
2024-03-01,426.87549813592955,427.0
2024-04-01,406.0695543356502,406.0
2024-05-01,860.903744821361,861.0
2024-06-01,645.9914450421418,646.0
2024-07-01,628.883548645654,629.0
2024-08-01,485.09089732635783,485.0
2024-09-01,290.04700987839215,290.0
2024-11-01,333.974731739948,334.0
2024-12-01,278.1057219496847,278.0
2025-01-01,271.9373735919281,272.0
2025-02-01,159.03662635587764,159.0
2025-03-01,247.9969003676521,248.0
2025-04-01,1018.7162582400454,1019.0
2025-05-01,1106.69273219246,1107.0
2025-06-01,567.1468301955022,567.0
2025-07-01,474.80349557678284,
2025-08-01,411.51009151160474,
2025-09-01,476.44027364672394,
2025-10-01,442.12335286877845,
2025-11-01,440.55542257961196,
2025-12-01,389.32332208495075,
2026-01-01,339.72867072771993,
2026-02-01,382.65591579407777,
2026-03-01,350.27345512729215,
2026-04-01,391.5812102715875,
2026-05-01,716.2742276976992,
2026-06-01,604.5401198496035,
2026-07-01,480.8859236425469,
2026-08-01,407.22866003849055,
2026-09-01,475.0096189914409,
2026-10-01,442.19771048310315,
2026-11-01,440.57706990568033,
2026-12-01,389.32332208495075,
2027-01-01,339.72867072771993,
2027-02-01,382.65591579407777,
2027-03-01,350.27345512729215,
2027-04-01,391.5812102715875,
2027-05-01,716.2742276976992,
2027-06-01,604.5401198496035,
