date,actual,predicted
2024-07-01,629,540.7921
2024-08-01,485,497.05136
2024-09-01,290,469.7662
2024-11-01,334,405.312
2024-12-01,278,351.81842
2025-01-01,272,296.98248
2025-02-01,159,301.64594
2025-03-01,248,286.60892
2025-04-01,1019,303.68585
2025-05-01,1107,400.01392
2025-06-01,567,541.39716
