date,actual,predicted
2024-08-01,795,1091.2268
2024-09-01,534,688.47253
2024-11-01,570,746.40186
2024-12-01,510,620.0419
2025-01-01,304,879.9876
2025-02-01,257,672.9721
2025-03-01,233,474.05975
2025-04-01,258,651.60986
2025-05-01,449,673.9602
2025-06-01,650,660.8274
